Atlas_Number,Entrances_Display_Name,Entrances_Number,Entrances_Type,Entrances_Position,Entrance_Summary,Entrances_Comments
3647,SC3647,1,Simple Gap,North east,null,null
3647,SC3647,2,Simple Gap,South west,This is rather broader than the NE entrance,null
3649,SC3649,1,Simple Gap,North west,null,null
3650,SC3650,1,In-turned,South east,The terminal turn inwards asymmetrically. Oblique approach exposing right side,null
3650,SC3650,2,Passage-way/Corridor,North east,Ramparts return and unite on one side of the entrance way,null
3650,SC3650,3,Passage-way/Corridor,South east,Ramparts return and unite on one side of the entrance way,null
3650,SC3650,3,Oblique,South east,Oblique approach exposing left side,null
3651,SC3651,1,Simple Gap,West,Pierces both the inner and outer defences and is utilised by the track that traverses the fort,null
3652,SC3652,1,Simple Gap,East,null,null
3653,SC3653,1,Hornwork,West,Doglegging through an outer enclosure effectively forming a hornwork below the main defences and exposing the visitor's left side,null
3654,SC3654,1,Simple Gap,South west,The ramparts turn in to either side of a natural hollow to create a shallow re-entrant,null
3654,SC3654,2,Simple Gap,East,null,null
3655,SC3655,1,Simple Gap,North east,null,null
3657,SC3657,1,In-turned,North,"This is a highly unusual entrance in Scotland, and its identification rests on the assumption that the two ends of the fort are indeed parts of the same enclosure",null
3658,SC3658,1,Simple Gap,West,Through inner wall,null
3658,SC3658,2,Simple Gap,South east,Through inner wall,null
3658,SC3658,3,Simple Gap,South,Through outer ramparts,null
3659,SC3659,1,Simple Gap,North east,null,null
3660,SC3660,1,Simple Gap,East,null,null
3660,SC3660,2,Simple Gap,South,null,null
3661,SC3661,1,Simple Gap,North east,"Gaps between the terminals of the outer ramparts and ditches, become progressively narrower towards the interior",null
3661,SC3661,1,Oblique,North east,Gap in the innermost rampart staggered to create an oblique approach exposing the visitor's left side,null
3661,SC3661,2,Simple Gap,South,"Gaps between the terminals of the outer ramparts and ditches, becoming progressively narrower towards the interior",null
3661,SC3661,2,Oblique,South,The entrance on the S side of the innermost enclosure is offset to create a dogleg in the approach exposing the visitor's left side.,null
3661,SC3661,3,Simple Gap,South west,Gaps between the terminals of the outer ramparts and ditches become progressively narrower towards the interior,null
3661,SC3661,3,Oblique,South west,Gap in the innermost rampart staggered to create an oblique approach exposing the visitor's left side,null
3662,SC3662,1,Simple Gap,East,null,null
3662,SC3662,2,Simple Gap,West,null,null
3663,SC3663,1,Simple Gap,North east,Though no longer surviving the 1st edition OS 25-inch map shows the ditch returning and uniting on the N side of the gap in the outer defences,null
3663,SC3663,2,Oblique,East,Staggered gaps. Oblique approach exposing left side,null
3663,SC3663,3,Other Forms,South east,"Through the outer ditch, and traces of the ramparts returning and uniting around the ditch terminal on the S side of the gap",null
3663,SC3663,4,Other Forms,South west,"Through the outer ditch, and traces of the ramparts returning and uniting around the ditch terminal on the E side of the gap",null
3663,SC3663,5,Simple Gap,South west,"Through the inner ramparts and possibly the outer ramparts, dog-legging down to entrance 4",null
3663,SC3663,5,Oblique,South west,Oblique approach exposing the right side,null
3663,SC3663,6,Passage-way/Corridor,West,"The earlier phase of the outer ramparts return and unite on the N side of what has evidently been an entrance, though there is no trace of the S side.",null
3666,SC3666,1,Simple Gap,South west,null,null
3667,SC3667,1,Oblique,South,Staggered gaps. Oblique approach exposing right side.,null
3668,SC3668,1,Simple Gap,West,null,null
3670,SC3670,1,Passage-way/Corridor,North west,Timber lined passage,null
3670,SC3670,1,Simple Gap,North west,Through the inner pair of palisades with hairpin terminals,null
3672,SC3672,1,Oblique,West,If the ramparts are contemporary the gaps are staggered creating an oblique approach to the inner exposing the left side,null
3672,SC3672,1,Simple Gap,West,null,null
3673,SC3673,1,Simple Gap,East,null,null
3673,SC3673,2,Oblique,South,Staggered gaps. Oblique approach exposing left side,null
3673,SC3673,2,Simple Gap,South,null,null
3674,SC3674,1,Simple Gap,North east,in outermost rampart and approached by a shallow worn hollow,null
3674,SC3674,1,Oblique,North east,Staggered terminals in the inner rampart creating oblique approach exposing right side,null
3674,SC3674,2,Other Forms,South west,Set in a re-entrant and exposes the visitor's right side,null
3675,SC3675,1,Simple Gap,North east,null,null
3675,SC3675,2,Simple Gap,South,null,null
3676,SC3676,1,Simple Gap,North west,null,null
3677,SC3677,1,Simple Gap,North east,null,null
3678,SC3678,1,Simple Gap,South,null,null
3678,SC3678,2,Oblique,West,Oblique approach exposing right side,null
3679,SC3679,1,Simple Gap,North east,Piercing both the inner and outer enclosures,null
3679,SC3679,2,Simple Gap,South west,Piercing both the inner and outer enclosures,null
3680,SC3680,1,Simple Gap,North west,null,null
3682,SC3682,1,Oblique,South,The track approaches obliquely in a manner that would have exposed the visitor's left side,null
3682,SC3682,1,Simple Gap,South,null,null
3684,SC3684,1,Simple Gap,North east,null,null
3685,EN3685,1,Other Forms,North east,Causewayed.,null
3685,EN3685,2,In-turned,South west,Causewayed.,null
3686,SC3686,1,Simple Gap,South east,null,null
3687,SC3687,1,Simple Gap,North,Causeway across the ditch,null
3688,SC3688,1,Simple Gap,South east,null,null
3688,SC3688,2,Simple Gap,West,"Possibly no more than a gap in the depiction of the slope, but apparently the route of a path shown on the 1st edition OS 25-inch map",null
3690,SC3690,1,Simple Gap,West,null,null
3690,SC3690,2,Simple Gap,North west,null,null
3691,EN3691,1,Simple Gap,East,null,null
3695,SC3695,1,Simple Gap,South east,null,null
3695,SC3695,2,Passage-way/Corridor,South west,Excavation revealed a timber lined passageway,null
3695,SC3695,3,Simple Gap,North west,null,null
3696,SC3696,1,Oblique,South east,"The gap in the inner rampart is staggered E of that in the outer rampart, creating an oblique approach that exposes the visitor's left side",null
3696,SC3696,1,Simple Gap,South east,null,null
3697,SC3697,1,Simple Gap,North east,null,null
3698,SC3698,1,Simple Gap,North east,In the summit fort and with a gap in an outer wall immediately below it,null
3698,SC3698,2,Over-lapping,South east,"In the large ridge enclosure to the ENE of the summit fort, opening into a gully and with the E wall terminal apparently turning inwards to expose the visitor's right side.",null
3698,SC3698,3,Simple Gap,North west,Into the opposite end of the gully of entrance 2,null
3698,SC3698,4,Oblique,South west,"via a gully on the SW, the character of the topography creating an inturned terminal on one side that exposes the visitor's right side",null
3699,SC3699,1,Oblique,North east,Obliquely piercing all the ramparts of the outer enclosure to expose the visitor's right side,null
3699,SC3699,2,Over-lapping,East,"Piercing all the ramparts of the outer enclosure, the terminals of the inner gap apparently staggered to the extent of overlapping",null
3699,SC3699,3,Simple Gap,South,"Piercing the outermost rampart of the outer enclosure, which is the only one visible in this sector",null
3699,SC3699,4,Simple Gap,East,Piercing a series of up to four ramparts at this end of the inner enclosure,null
3699,SC3699,5,In-turned,South,A complex entrance with inturns in three phases,null
3700,SC3700,1,Oblique,West,Staggered gaps. Oblique approach exposing left side,null
3700,SC3700,2,Simple Gap,West,possible,null
3705,SC3705,1,Simple Gap,East,Causeway across the ditch,null
3706,SC3706,1,Simple Gap,North,null,null
3707,SC3707,1,Simple Gap,South east,The medial bank obscures whether the palisade trenches return and unite in hairpins at the terminals,null
3708,SC3708,1,Simple Gap,North west,null,null
3710,SC3710,1,Simple Gap,North east,In the inner with timber fittings,null
3710,SC3710,1,In-turned,North east,Complex timber arrangements creating an oblique approach exposing left side and projected by short timber inturns into the interior,null
3710,SC3710,1,Oblique,North east,oblique approach exposing left side and projected by short timber inturns into the interior,null
3710,SC3710,2,Simple Gap,South east,"Deeply worn hollows through both the outer and inner enclosures, and splaying into a Y immediately within the inner",null
3710,SC3710,3,Simple Gap,South west,Deeply worn hollow through all ramparts,null
3711,SC3711,1,Simple Gap,North east,null,null
3711,SC3711,2,Simple Gap,South west,null,null
3714,SC3714,1,Simple Gap,East,null,null
3714,SC3714,2,Simple Gap,South west,null,null
3715,EN3715,1,Simple Gap,East,null,null
3716,SC3716,1,Simple Gap,North east,null,null
3718,EN3718,1,Simple Gap,South east,Causewayed.,null
3719,SC3719,1,Simple Gap,North east,null,null
3720,SC3720,1,Simple Gap,North west,null,null
3724,SC3724,1,Simple Gap,North east,Through the ramparts and ditches,null
3724,SC3724,2,Simple Gap,South east,Through the ramparts and ditches,null
3724,SC3724,3,Simple Gap,South west,Through the ramparts and ditches,null
3724,SC3724,3,Passage-way/Corridor,South west,The timberwork re-cutting the entrance through the earthwork defences includes a line passage through thr two inner ramparts,null
3725,SC3725,1,Simple Gap,South,The cropmarks are too indistinct to be clear of the character of this entrance,null
3725,SC3725,2,Other Forms,South east,"There appears to be an irregularity in the lines here, but it is obscured by the shelter belt",null
3726,SC3726,1,Simple Gap,North east,"Through the inner enclosure, but blocked off by the outer ditches",null
3726,SC3726,2,Simple Gap,South east,Through the outer ditches,null
3726,SC3726,3,Simple Gap,West,Through the outer ditches,null
3727,EN3727,1,In-turned,North east,Possibly inturned entrance. Occupied by modern track.,null
3729,EN3729,1,Simple Gap,North east,Possible intended entrance.,null
3730,EN3730,1,In-turned,North east,Entrance through inner rampart. Slightly inturned and causewayed.,null
3730,EN3730,1,Passage-way/Corridor,North east,Extended passage.,null
3730,EN3730,2,Simple Gap,North west,null,null
3731,EN3731,1,Simple Gap,North west,Uncertain.,null
3731,EN3731,2,Simple Gap,North west,Uncertain.,null
3731,EN3731,3,Simple Gap,East,Uncertain.,null
3733,EN3733,1,Simple Gap,East,Evidence for a gate and palisade.,null
3733,EN3733,2,Recesses/Guard Chambers,East,"In the second phase an entrance on E strengthened with a guard house or turret, an outer wall and a paved approach.",null
3734,EN3734,1,In-turned,East,"Part excavation revealed two sets of stone-packed gateposts within entrance passage, suggesting double gateway or gate tower, and metalled roadway leading into interior.",null
3734,EN3734,1,Passage-way/Corridor,East,null,null
3734,EN3734,2,Passage-way/Corridor,North west,Possible entrance passage - two parallel banks.,null
3736,EN3736,1,In-turned,South east,Slightly inturned.,null
3739,EN3739,1,Passage-way/Corridor,East,null,null
3739,EN3739,1,In-turned,East,"Gate modified during snd century BC with inturned stone-walled passage leading to timber gate, destroyed c. 100 BC.",null
3741,EN3741,1,Simple Gap,South east,Dyke Road passes through.,null
3741,EN3741,2,Blocked,South west,Possible entrance only.,null
3742,EN3742,1,Simple Gap,North east,Located at NW end.,null
3742,EN3742,2,Simple Gap,North east,Located at SE end.,null
3743,EN3743,1,In-turned,North,null,null
3743,EN3743,2,In-turned,South,null,null
3744,EN3744,1,In-turned,South east,Traces of causeway across the ditch and rampart inturned on the N side.,null
3745,EN3745,1,In-turned,North east,Causewayed gaps.,null
3745,EN3745,2,In-turned,South west,Causewayed gaps.,null
3746,EN3746,1,Oblique,North,Distinctly offset.,null
3747,EN3747,1,Passage-way/Corridor,South east,Entrance to inner enclosure.,null
3748,EN3748,1,Simple Gap,East,null,null
3749,EN3749,1,In-turned,East,Causewayed.,null
3749,EN3749,2,In-turned,South,Causewayed.,null
3751,EN3751,1,In-turned,South west,Mutilated.,null
3751,EN3751,2,Simple Gap,East,Constructed in Roman period.,null
3753,SC3753,1,Simple Gap,East,Shallow re-entrant in the line of the outer ditch,null
3755,SC3755,1,Oblique,West,"Seems to have a shallow inturn on one side, exposing the right side",null
3756,SC3756,1,Simple Gap,South,null,null
3758,SC3758,1,Simple Gap,North,A slight irregularity in the line of the two ditches on the NNE possibly indicates the position of an entrance,null
3759,SC3759,1,Simple Gap,East,null,null
3760,SC3760,1,Simple Gap,South west,Through inner rampart,null
3761,SC3761,1,Simple Gap,East,null,null
3763,SC3763,1,Simple Gap,South,Oblique aerial photographs suggest there is probably a gap on the S,null
3764,SC3764,1,Simple Gap,West,null,null
3765,SC3765,1,Simple Gap,East,null,null
3766,SC3766,1,Oblique,North,A complex entrance through the outwork and the outer enclosure. Oblique approach exposing right side,null
3766,SC3766,2,Simple Gap,North east,Possible narrow causeway in the outer ditch,null
3766,SC3766,3,Simple Gap,East,Possible narrow causeway in the outer ditch,null
3766,SC3766,4,Simple Gap,East,Through the inner enclosure,null
3766,SC3766,5,Simple Gap,North west,Through the inner enclosure,null
3766,SC3766,6,Simple Gap,North west,Possible narrow causeway in the outer ditch,null
3766,SC3766,7,Other Forms,North,A narrow causeway in a shallow re-entrant,null
3767,SC3767,1,Simple Gap,East,Possible entrance,null
3768,SC3768,1,Simple Gap,North east,Along the edge of the escarpment,null
3770,SC3770,1,Simple Gap,North east,The ditch on the E side is deliberately turned outwards to form the gap,null
3770,SC3770,1,Simple Gap,North east,In the two inner ditches,null
3770,SC3770,2,Simple Gap,West,"Where present road doglegs to cross the defences, with traces of a probable trackway hollow in the cropmarks",null
3770,SC3770,3,Simple Gap,North west,In outermost ditch,null
3771,EN3771,1,Simple Gap,East,null,null
3771,EN3771,2,Simple Gap,West,null,null
3772,EN3772,1,In-turned,South west,null,null
3772,EN3772,2,In-turned,North east,null,null
3773,EN3773,1,Simple Gap,East,null,null
3773,EN3773,2,Simple Gap,East,null,null
3774,EN3774,1,Simple Gap,South,null,null
3774,EN3774,2,Simple Gap,North east,null,null
3775,EN3775,1,In-turned,North east,null,null
3777,SC3777,1,Simple Gap,North east,null,null
3778,SC3778,1,Simple Gap,East,null,null
3780,SC3780,1,Simple Gap,North west,Through both ramparts,null
3780,SC3780,2,Simple Gap,North east,At a point where the inner rampart fades out,null
3781,SC3781,1,Simple Gap,West,null,null
3784,SC3784,1,Passage-way/Corridor,South west,The medial ditch turns in parallel to the margin of the promontory. Exposes right side,null
3784,SC3784,2,Simple Gap,South west,"The inner and medial ditches appear to terminate short of the margin of the promontory, though this may be an edge effect in the crop, and the outer ditch turns slightly inwards",null
3787,SC3787,1,Simple Gap,North east,"Apparent gap, though the cropmarks are too diffuse to be certain that it pirces all four ditches",null
3788,SC3788,1,Simple Gap,West,"While the entrance has been elaborated by the dogleg in the ditch, the ditch terminals are directly opposed",null
3790,EN3790,1,In-turned,North west,null,null
3791,EN3791,1,Hornwork,South east,Also with inturned corridor.,null
3791,EN3791,1,In-turned,South east,Inturned corridor.,null
3791,EN3791,1,Passage-way/Corridor,South east,Inturned corridor.,null
3791,EN3791,2,Blocked,North west,Possibly existed.,null
3793,EN3793,1,Simple Gap,South west,null,null
3793,EN3793,2,Simple Gap,East,null,null
3796,EN3796,1,In-turned,West,Possible.,null
3797,EN3797,1,Simple Gap,North east,"None defined. Possibly on NE along spur, but conjecture.",null
3798,EN3798,1,Simple Gap,North west,null,null
3799,EN3799,1,Simple Gap,East,Type only conjecture. Now buried beneath gravel track which crosses the site.,null
3799,EN3799,2,Outworks,North,Possible staggered entrance. Position estimated.,null
3799,EN3799,2,Over-lapping,North,Staggered.,null
3800,EN3800,1,Simple Gap,North,null,null
3800,EN3800,2,Simple Gap,South,null,null
3803,EN3803,1,In-turned,South east,Slightly inturned.,null
3803,EN3803,2,Simple Gap,North west,Badly mutilated by sand digging.,null
3804,EN3804,1,Out-turned,East,Possible entrance only. Causewayed.,null
3804,EN3804,2,Simple Gap,West,Possible entrance only.,null
3805,EN3805,1,In-turned,South east,Slightly inturned.,null
3806,EN3806,1,Simple Gap,East,Causeway through rampart. Modern widening.,null
3807,EN3807,1,Out-turned,North,null,null
3809,EN3809,1,In-turned,East,null,null
3810,EN3810,1,Simple Gap,South west,Damaged and widened.,null
3811,EN3811,1,Simple Gap,North,Access road through to house.,null
3812,EN3812,1,Simple Gap,West,Possible site only where manor house now stands. Simple gap default.,null
3812,EN3812,2,Simple Gap,North,"Possibly where outer rampart opens at its N extremity,",null
3812,EN3812,2,Recesses/Guard Chambers,North,"Possible entrance on N where outer rampart opens at its extremity, flanked to E by mound which may be potential guard chamber - pure speculation.",null
3813,EN3813,1,Simple Gap,East,Possible only.,null
3813,EN3813,2,Simple Gap,West,Possible only.,null
3814,EN3814,1,Simple Gap,South east,Wide gap.,null
3815,EN3815,1,Simple Gap,North east,null,null
3815,EN3815,2,Simple Gap,South east,null,null
3817,EN3817,1,Simple Gap,South west,Causeway across ditch.,null
3817,EN3817,2,Simple Gap,East,Second entrance possibly on ploughed-out E side.,null
3819,SC3819,1,Simple Gap,West,null,null
3823,EN3823,1,Simple Gap,South east,null,null
3824,SC3824,1,Simple Gap,South,null,null
3824,SC3824,2,Simple Gap,West,null,null
3825,EN3825,1,Simple Gap,East,No longer discernible.,null
3826,EN3826,1,Simple Gap,West,Causeway across ditch.,null
3827,EN3827,1,In-turned,North east,null,null
3827,EN3827,2,Outworks,South,Outwork on W flank.,null
3828,EN3828,1,Blocked,South west,Blocked in 4th century BC.,null
3828,EN3828,2,Hornwork,East,Main entrance with outworks.,null
3828,EN3828,2,Passage-way/Corridor,East,Long winding approach.,null
3828,EN3828,2,Outworks,East,Outworks meeting to form an outer entrance and creating a long winding approach commanded by inner rampart.,null
3829,EN3829,1,Simple Gap,South,Possible only.,null
3831,EN3831,1,In-turned,North east,null,null
3831,EN3831,2,In-turned,South west,null,null
3833,EN3833,1,Simple Gap,South east,Causeway across ditch.,null
3835,EN3835,1,In-turned,North east,Slightly inturned.,null
3835,EN3835,2,In-turned,South west,Slightly inturned.,null
3836,EN3836,1,Simple Gap,South east,null,null
3836,EN3836,2,Blocked,North west,Possible entrance suggested by configuration of earthworks and geophysics and trackway through interior.,null
3837,EN3837,1,In-turned,South east,Substantial.,null
3837,EN3837,2,In-turned,West,Substantial.,null
3838,EN3838,1,Out-turned,West,Slight out-turning and overlapping of ramparts suggesting possible hornwork.,null
3838,EN3838,1,Over-lapping,West,Slight overlapping of ramparts.,null
3838,EN3838,1,Hornwork,West,Possible hornwork.,null
3840,EN3840,1,Simple Gap,South east,null,null
3840,EN3840,2,In-turned,South west,null,null
3840,EN3840,2,Passage-way/Corridor,South west,Corridor.,null
3841,EN3841,1,Simple Gap,South east,null,null
3843,EN3843,1,In-turned,North east,Causewayed gap.,null
3843,EN3843,1,Recesses/Guard Chambers,North east,Originally revetted with timber and included guard cahmbers set in bays in the ramparts on either side.,null
3843,EN3843,1,Passage-way/Corridor,North east,Passage narrowed 2nd century BC.,null
3845,EN3845,1,Simple Gap,North east,Possible.,null
3847,SC3847,1,Simple Gap,West,null,null
3848,SC3848,1,Simple Gap,South east,null,null
3849,SC3849,1,Simple Gap,North east,null,null
3849,SC3849,2,Simple Gap,West,null,null
3853,EN3853,1,Simple Gap,North,null,null
3853,EN3853,2,Over-lapping,East,null,null
3858,SC3858,1,Simple Gap,West,null,null
3862,SC3862,1,Simple Gap,North east,Penetrating the inner belt of defences,null
3862,SC3862,1,Oblique,North east,Oblique approach to the innermost rampart exposing the visitor's right side,null
3862,SC3862,1,Simple Gap,North east,Through the outer earthworks at the edge of the escarpment,null
3862,SC3862,1,Hollow Way,North east,Mounts the slope between banks,null
3862,SC3862,2,Simple Gap,North west,Penetrating the inner belt of defences,null
3862,SC3862,3,In-turned,North west,Deeply worn hollow flanked by low banks extending back within the outermost earthworks,null
3862,SC3862,3,Hollow Way,North west,null,null
3862,SC3862,4,Simple Gap,North west,Earlier entrance through the triple palisades between the two sets of earthwork defences,null
3863,SC3863,1,Simple Gap,North east,null,null
3864,SC3864,1,Simple Gap,East,null,null
3864,SC3864,2,Blocked,South,Possible blocked entrance,null
3864,SC3864,3,Oblique,West,In its final phase the terminals of the inner rampart are staggered. Oblique approach exposing right side,null
3865,SC3865,1,Simple Gap,North east,null,null
3865,SC3865,2,Simple Gap,South west,Along the edge of the escarpment,null
3866,SC3866,1,Over-lapping,South east,Evidence of wear running up obliquely and an out-turned terminal on the middle rampart on the W side of the gap,null
3866,SC3866,1,Oblique,South east,Oblique approach exposing the visitor's right side,null
3866,SC3866,1,Hornwork,South east,Outurn of the middle rampart to form a shallow hornwork,null
3866,SC3866,2,Over-lapping,South west,With hollowed track running up into the interior and an out-turned terminal on the middle rampart on the E side of the gap,null
3866,SC3866,2,Oblique,South west,Oblique approach exposing the visitor's left side,null
3866,SC3866,2,Hornwork,South west,Outurn of the middle rampart to form a shallow hornwork,null
3867,SC3867,1,Simple Gap,North east,Probably adapted to a shallow re-entrant,null
3867,SC3867,2,Passage-way/Corridor,North west,Ramparts return and unite around the ditch terminals to either side of the gap.,null
3870,SC3870,1,Oblique,South west,Staggered gaps. Oblique approach exposing right side,null
3870,SC3870,1,Simple Gap,South west,null,null
3870,SC3870,2,Simple Gap,South west,"Staggered gaps in the middle and inner ditches, creating an oblique approach exposing left side, but the outer gap is offset in the opposite direction",null
3870,SC3870,2,Simple Gap,South west,null,null
3870,SC3870,3,Blocked,North west,The gap in the middle ditch is not matched by gaps in either the inner or the outer ditches.,null
3872,SC3872,1,Hornwork,East,"Possible hornwork outside the second rampart, or otherwise a fragment of an earlier enclosure",null
3872,SC3872,2,Simple Gap,South,"Possible a relatively recent break, but equally may relate to the overlying late Iron Age settlement",null
3872,SC3872,3,Over-lapping,North west,Staggered gaps with oblique approach exposing right side before turning sharply back through the overlapping terminals of the second rampart overlap,null
3872,SC3872,3,Simple Gap,West,In inner rampart,null
3872,SC3872,3,Oblique,North west,Through outer ramparts to overlapping gap in the second rampart,null
3873,SC3873,1,Simple Gap,West,null,null
3874,SC3874,1,Oblique,South,Slightly staggered gaps. Oblique approach exposing left side,null
3874,SC3874,2,Oblique,West,Slightly staggered gaps in wide-spaced ramparts. Oblique approach exposing right side,null
3874,SC3874,2,Simple Gap,West,Opposed rampart terminals in each line,null
3875,SC3875,1,Simple Gap,East,Through the two inner ditches,null
3875,SC3875,1,Simple Gap,East,Possible broad gap in the third ditch,null
3875,SC3875,2,Simple Gap,West,Through the two inner ditches,null
3875,SC3875,2,Simple Gap,West,"One terminal visible, in the third ditch",null
3875,SC3875,3,Simple Gap,South,"One terminal visible, in the third ditch",null
3876,SC3876,1,Simple Gap,North east,null,null
3876,SC3876,2,Simple Gap,South east,null,null
3876,SC3876,3,Simple Gap,South west,null,null
3876,SC3876,4,Simple Gap,North west,null,null
3877,SC3877,1,Simple Gap,East,null,null
3880,SC3880,1,Passage-way/Corridor,East,Broad gap possibly indicating that inner and outer ramparts have united around the terminals of the ditch,null
3880,SC3880,1,Simple Gap,East,null,null
3880,SC3880,2,Passage-way/Corridor,West,Broad gap possibly indicating that inner and outer ramparts have united around the terminals of the ditch,null
3880,SC3880,2,Simple Gap,West,null,null
3881,EN3881,1,Simple Gap,North,null,null
3882,SC3882,1,Simple Gap,East,Along the E margin of the terrace,null
3884,SC3884,1,Simple Gap,North east,Through all three ditches,null
3886,SC3886,1,Simple Gap,North,Possible evidence of recuts in the W terminal,null
3886,SC3886,2,Hornwork,South west,Deliberate spur of ditch extending the outermost to create an overlap to expose the visitors right side,null
3890,EN3890,1,Simple Gap,West,null,null
3891,null,1,Other Forms,null,Causeway,null
3891,null,2,Other Forms,null,Causeway,null
3895,EN3895,1,In-turned,North west,null,null
3896,SC3896,1,Simple Gap,South east,Through the outermost rampart providing access to the lower slopes on the S from the E,null
3898,SC3898,1,Oblique,East,Staggered ditch terminals to either side. Oblique approach exposing left side,null
3898,SC3898,2,Oblique,South east,Ditch terminals are staggered to either side. Oblique approach exposing left side,null
3900,SC3900,1,Over-lapping,North east,Staggered terminals in the outer ditches. Oblique approach exposing left side,null
3900,SC3900,1,Blocked,North east,The ditch has been extended across the overlap of ditch 2 and ditch 3,null
3900,SC3900,2,Oblique,South east,Overlaps in the terminals of the second and third ditches. Oblique approach exposing left side,null
3900,SC3900,2,Simple Gap,South east,in the innermost ditch,null
3900,SC3900,2,Hornwork,South east,Deliberate outurn of the 2nd ditch to form a shallow hornwork,null
3900,SC3900,3,Simple Gap,South west,In the innermost and second ditch,null
3900,SC3900,3,Oblique,South west,emphasised by an out-turned spur of the third ditch to form an opposed terminal with the fourth ditch,null
3900,SC3900,3,Hornwork,South west,Marked outurn on the N side by the third ditch to form a hornwork,null
3900,SC3900,4,Simple Gap,North west,In the innermost ditch,null
3900,SC3900,4,Oblique,North west,"Staggered terminals in ditches two and three, emphasised by an out-turned spur at the terminal of ditch two. Oblique approach exposing right side",null
3900,SC3900,4,Over-lapping,North west,At the terminals of ditch three,null
3900,SC3900,4,Hornwork,North west,Slight out turn on N side of the 2nd ditch,null
3901,SC3901,1,Simple Gap,East,null,null
3901,SC3901,2,Simple Gap,West,null,null
3902,SC3902,1,Simple Gap,South east,null,null
3902,SC3902,2,Simple Gap,South west,null,null
3902,SC3902,3,Simple Gap,North west,null,null
3903,SC3903,1,Simple Gap,North east,Piercing two ramparts belonging to the later phase of the defences,null
3903,SC3903,2,Simple Gap,South west,"Apparently pierces the outer lines, but various authorities disagree as to whether there is a gap in the innermost rampart.",null
3903,SC3903,3,Over-lapping,North west,"The reconstruction of the defensive system has created an overlap in the innermost rampart, forcing the visitor approaching along the entrance way at right-angles to the general axis of the ramparts to turn right through the gap in the innermost to exposing left side",null
3903,SC3903,3,Simple Gap,North west,With opposed terminals in the outer ramparts,null
3907,SC3907,1,Oblique,South,"Clearly an elaborate entrance, with an oblique approach exposing the visitor's left side, and potentially with inturned or staggered rampart terminals to either side, but the detailed plan is unclear",null
3907,SC3907,2,Simple Gap,North west,A gap observed in 1913 but unsubstantiated by later work,null
3908,SC3908,1,Simple Gap,West,Through inner ditch,null
3908,SC3908,2,Simple Gap,North west,Through both ditches along the N margin of the promontory,null
3911,SC3911,1,Simple Gap,South,Identified in the line of the early medieval palisade,null
3913,SC3913,1,Simple Gap,North east,Two pairs of opposed ditch terminals,null
3913,SC3913,2,Simple Gap,South east,Initially constructed with symmetrically opposed terminals,null
3913,SC3913,2,Oblique,South east,But evidence of modification of the outer ditch to create an oblique entrance way exposing the visitor's right side,null
3913,SC3913,3,Oblique,South west,"Staggered gaps, with a slight outurn of the outer ditch on one side to emphasise the oblique approach exposing right side",null
3913,SC3913,3,Simple Gap,South west,In the inner ditch,null
3913,SC3913,3,Hornwork,South west,Deliberate slight out turn of the outer ditch to create a minor hornwork,null
3913,SC3913,4,Oblique,North west,Oblique approach exposing right side.,null
3913,SC3913,4,Simple Gap,North west,Opposed ditch terminals to either side,null
3916,SC3916,1,Hornwork,South,An out-turn in the outer ditch akin to a clavicula and possibly subsequently blocked,null
3916,SC3916,1,Blocked,South,null,null
3916,SC3916,2,Hornwork,West,An out-turn akin to a clavicula in the line of the outer ditch,null
3917,SC3917,1,Simple Gap,North west,null,null
3918,SC3918,1,Simple Gap,North,Possible causeway on the geophysical survey,null
3918,SC3918,2,Over-lapping,West,Through an earlier palisade,null
3924,SC3924,1,Simple Gap,East,Apparently a terminal to the 2nd ditch adjacent the scarp edge,null
3924,SC3924,1,Blocked,East,Entrance 1 is apparently blocked by the inner ditch,null
3924,SC3924,2,Simple Gap,South west,Clear causeway across the inner ditch,null
3924,SC3924,2,Blocked,South west,"The second ditch possibly blocks the gap in the inner, but the cropmarks are too diffuse in this sector to be certain",null
3925,SC3925,1,Simple Gap,South west,Such a broad causeway that it is possible the ditch was flanked by double ramparts that returned and united around the ditch terminals,null
3928,SC3928,1,Simple Gap,South west,between the ditch system and the lip of the escarpment,null
3929,SC3929,1,Simple Gap,West,null,null
3930,SC3930,1,Passage-way/Corridor,West,Formed between the N margin of the promontory and the return where the two main ditches unite,null
3930,SC3930,2,Simple Gap,South west,"While the sub-rectangular feature outside the defences extends up to the edge of the field, the ditches do not, possibly indicating a second entrance on the S margin of the promontory",null
3932,SC3932,1,Simple Gap,North west,In the robbed 4ha enclosure and roughly aligned on North Berwick Law,null
3932,SC3932,2,Simple Gap,South west,Cleft in the lip of the summit area approached by a trackway and a natural entrance for both the 4ha and 8ha enclosures,null
3932,SC3932,3,Simple Gap,West,"Gap in the 8ha wall approached by a trackway, though this may have cut through at a later date",null
3932,SC3932,4,In-turned,North,Through the outermost terrace rampart adjacent the quarry; impression of inturns may be created by deep wear,null
3932,SC3932,5,Simple Gap,West,"Through both the outermost terrace rampart and the Cruden Wall, but narrowed by the latter; approached obliquely by trackway exposing the visitor's right side",null
3932,SC3932,5,Oblique,West,Approached obliquely by a trackway exposing the visitor's left side,null
