Main_Atlas_Number,Main_Display_Name,Location_X,Location_Y,Density,Density_trans,Location_Current_County,Location_Historic_County,Location_Current_Parish
1925,"Castell-y-Fuwch, Pembrokeshire (Castle Fuwch; Parc Castell; Castell y Bwch; Cas-Fuwch; Castell-y-Cwch)",-542663,6786650,1.402078290535231e-12,-3.8025226933746192,Pembrokeshire,Pembrokeshire,Puncheston
1926,"Castell Pengegin, Pembrokeshire (Castell Pen-Gegin)",-540621,6795307,1.4154033011855161e-12,-3.8025154227521316,Pembrokeshire,Pembrokeshire,Cwm Gwaun
1927,"Castell Caerwen, Pembrokeshire (Castell Kilkiffeth)",-544118,6794779,1.3808568601161517e-12,-3.8025343784634815,Pembrokeshire,Pembrokeshire,Cwm Gwaun
1928,"Hepburn Wood Camp, Northumberland",-210897,7460569,2.5829721356511967e-12,-3.8020138862258377,Northumberland,Northumberland,Chillingham
1929,"Brandon Hill, Northumberland",-214749,7450883,2.6323884911141365e-12,-3.8019967611857166,Northumberland,Northumberland,Ingram
1930,"Titlington Mount Camp, Northumberland",-205950,7447494,2.4016828294145453e-12,-3.8020788592708095,Northumberland,Northumberland,Hedgeley
1931,"Middle Dod Law, Northumberland",-221687,7475076,2.8769618187484134e-12,-3.801915330731892,Northumberland,Northumberland,Doddington
1932,"East Dod Law, Northumberland",-221487,7474936,2.8721562533421667e-12,-3.8019168806199306,Northumberland,Northumberland,Doddington
1933,"Hemphole Plantation, Northumberland",-199779,7471785,2.3187857733089238e-12,-3.80210977939716,Northumberland,Northumberland,Adderstone with Lucker
1934,"Pace Hill, Northumberland",-237893,7485241,3.2226000530824264e-12,-3.801808540632467,Northumberland,Northumberland,Ford
1935,"Castell Cynon, Pembrokeshire (Tre-Gynon Fort; Tre-Gynon Camp; Tregynon)",-538444,6795588,1.4364155908507826e-12,-3.8025040595176325,Pembrokeshire,Pembrokeshire,Cwm Gwaun
1936,"Dinas Island Castle (East), Pembrokeshire",-545138,6804543,1.3548767776719102e-12,-3.802548865443482,Pembrokeshire,Pembrokeshire,Dinas Cross
1938,"Castell Trefach, Nevern, Pembrokeshire (Castell Tre-Fach; Tre-Fach Camp)",-533300,6806033,1.4691116368418628e-12,-3.8024866191014475,Pembrokeshire,Pembrokeshire,Nevern
1939,"Castell Nanhyfer, Nevern, Pembrokeshire (Nevern Castle)",-534016,6804834,1.4646987648389906e-12,-3.802488956161444,Pembrokeshire,Pembrokeshire,Nevern
1940,"Clawdd y Milwyr, Pembrokeshire (St David's Head Camp; Warrior's Dyke)",-591433,6782590,8.531019792368717e-13,-3.802880262063938,Pembrokeshire,Pembrokeshire,St Davids and the Cathedral Close St David's
1941,"St Lawrence Camp, Pembrokeshire",-557522,6783759,1.246634373935714e-12,-3.8026115259407574,Pembrokeshire,Pembrokeshire,Hayscastle St Lawrence
1942,"Great Treffgarne Rocks Camp, Pembrokeshire",-553324,6779648,1.2933042458913175e-12,-3.802584036074954,Pembrokeshire,Pembrokeshire,Wolfscastle
1948,"Bowsden West Farm, Northumberland",-225591,7493251,2.951378505601418e-12,-3.8018915700212386,Northumberland,Northumberland,Bowsden
1950,"Poll Carn, Pembrokeshire",-554013,6778695,1.2858884965673318e-12,-3.802588354746895,Pembrokeshire,Pembrokeshire,Wolfscastle
1951,"Hazel Grove Camp South, Pembrokeshire (Little Treffgarne Wood Enclosure)",-551975,6777092,1.3074159856043224e-12,-3.8025758680613033,Pembrokeshire,Pembrokeshire,Wolfscastle
1952,"Garn Fechan, Llanwnda, Pembrokeshire (Gaer Fach; y Gaer Vychan)",-563360,6801744,1.1598192960864894e-12,-3.802664749657236,Pembrokeshire,Pembrokeshire,Pencaer
1953,"Parc Castell, Pont Cwm-Bach, Pembrokeshire (Old Castle Plantation)",-556508,6798453,1.2431117173896362e-12,-3.8026136314906007,Pembrokeshire,Pembrokeshire,Scleddau
1955,"Castell Pant-y-Phillip, Pembrokeshire (Parc y Castell; Castell)",-554449,6793337,1.2729442458141792e-12,-3.8025959372243765,Pembrokeshire,Pembrokeshire,Trecwn
1958,"Tower Point, St. Brides, Pembrokeshire (Tower Point Rath)",-579234,6755482,9.857050411325556e-13,-3.8027810502038752,Pembrokeshire,Pembrokeshire,Marloes and St Brides
1959,"Castle Head, St. Brides, Pembrokeshire",-578020,6756117,1.0004066086676361e-12,-3.8027706695957124,Pembrokeshire,Pembrokeshire,Marloes and St Brides
1960,"Ballyrobin South, Cork",-901212,6765684,2.595367788158905e-13,-3.803568749918019,Cork,Cork,Ballyrobin South
1961,"Clegyr Boia, Pembrokeshire (Clegyr-Boia; Clegyr Voia; Clegyr-Foia)",-588756,6778153,8.861601268107272e-13,-3.8028545191118375,Pembrokeshire,Pembrokeshire,St Davids and the Cathedral Close St David's
1962,"Knockadoon (Warren), Cork",-884811,6776743,2.652553858803221e-13,-3.8035579783306095,Cork,Cork,Knockadoon (Warren)
1963,"Rochestown, Cork",-960096,6734648,2.6832299411997084e-13,-3.8035522705744804,Cork,Cork,Rochestown
1964,"Castell Heinif, Pembrokeshire (Castell Meinif; Castell Henif; Castell Menif)",-590904,6777358,8.6127373492352e-13,-3.802873831070112,Pembrokeshire,Pembrokeshire,St Davids and the Cathedral Close St David's
1965,"Porth y Rhaw Camp, Pembrokeshire",-580829,6777064,9.79593459937035e-13,-3.802785399124018,Pembrokeshire,Pembrokeshire,Solva
1966,"Castell Penpleidiau, Pembrokeshire (Caerfai Camp; Penpleidiau Camp; Pen Pleiddiau)",-584557,6776509,9.357858037016355e-13,-3.8028171724707236,Pembrokeshire,Pembrokeshire,St Davids and the Cathedral Close
1967,"Trwyn-y-Castell, Pembrokeshire (Trwyn y Castell; Trwyn)",-580057,6788929,9.821967191007514e-13,-3.8027835442407794,Pembrokeshire,Pembrokeshire,Llanrhian
1968,"Castell Coch, Tremynydd, Pembrokeshire (Castell Coch, Aberdinas)",-582982,6786948,9.493769343753097e-13,-3.8028071996955095,Pembrokeshire,Pembrokeshire,St Davids and the Cathedral Close
1969,"Reenadisert, Cork",-1053000,6748894,3.8824999252497993e-13,-3.8033593837187745,Cork,Cork,Reenadisert
1970,"Ballynacarriga, Cork",-1130188,6726204,3.124487490284786e-13,-3.8034750459174584,Cork,Cork,Ballynacarriga
1971,"Cloonaghlin West (Bear Island), Cork (Bear Island) (D–InN)",-1093211,6733165,3.7264522413324427e-13,-3.803381736612696,Cork (Bear Island),Cork,Cloonaghlin West
1972,"Ballymackean, Cork",-949538,6733112,2.557028349874643e-13,-3.803576069915388,Cork,Cork,Ballymackean
1973,"Caer Aber Pwll, Caerau, Pembrokeshire (Caerau, Aber-Pwll)",-580971,6787606,9.72585637288766e-13,-3.802790410485337,Pembrokeshire,Pembrokeshire,St Davids and the Cathedral Close
1974,"y-Castell, Henre Ruffydd, Solva, Pembrokeshire",-577931,6779220,1.01327031885934e-12,-3.8027616785332348,Pembrokeshire,Pembrokeshire,Solva
1976,"Gribin Promontory Fort, Solva, Pembrokeshire (Solva Head; Gribyn)",-578225,6776693,1.0102934840676945e-12,-3.8027637516691475,Pembrokeshire,Pembrokeshire,Solva
1977,"Salter's Nick, Northumberland",-213442,7388233,1.9825651719179874e-12,-3.8022442522893503,Northumberland,Northumberland,Wallington Demesne
1978,"Dinas Fach, Solva, Pembrokeshire (Dinasoedd)",-574331,6775291,1.056013340196479e-12,-3.8027323949448575,Pembrokeshire,Pembrokeshire,Brawdy
1979,"Lissamona/Lios Ó Móine (Clear Island), Cork (Clear Island)",-1057234,6700342,3.217080712246556e-13,-3.8034598764210252,Cork (Clear Island),Cork,Lissamona/Lios î M†ine
1980,"Simonside Camp, Northumberland (Weetwood Camp, Weetwood Moor)",-219061,7470902,2.809214403592907e-12,-3.801937359298405,Northumberland,Northumberland,Chatton
1981,"Heiferlaw, Northumberland (Heifer Law Camp)",-191052,7450237,2.0340521480654166e-12,-3.802222620951553,Northumberland,Northumberland,Denwick
1982,"Huckhoe, Northumberland",-210076,7389027,1.9349406307020684e-12,-3.8022646327822662,Northumberland,Northumberland,Belsay
1983,"Porth y Bwch, Pembrokeshire (Pen Dinas Fach)",-576556,6775891,1.029956004392537e-12,-3.8027501406251445,Pembrokeshire,Pembrokeshire,Solva
1984,"Solva, Pembrokeshire",-577127,6777471,1.0231049702810889e-12,-3.8027548612188715,Pembrokeshire,Pembrokeshire,Solva
1985,"Brawdy Castle, Pembrokeshire",-568413,6777200,1.1247671409658997e-12,-3.802687073288146,Pembrokeshire,Pembrokeshire,Brawdy
1987,"Dinas Mawr, Llanwnda, Pen-Caer, Pembrokeshire",-565352,6801285,1.137711355009814e-12,-3.802678770568428,Pembrokeshire,Pembrokeshire,Pencaer
1988,"Garn Fawr, Pembrokeshire (Gaer Fawr)",-564064,6801503,1.152169718139683e-12,-3.802669578569655,Pembrokeshire,Pembrokeshire,Pencaer
1989,"Carreg Golchfa, Pembrokeshire",-565952,6795537,1.1400412700877186e-12,-3.8026772835114038,Pembrokeshire,Pembrokeshire,Pencaer
1990,"Porth-Egr, Pembrokeshire",-578997,6790227,9.934424828594445e-13,-3.8027755727654506,Pembrokeshire,Pembrokeshire,Llanrhian
1991,"Castell Coch, Trevine, Pembrokeshire (Castell Coch, Trefin; Castell Coch, Tref-Fin)",-572782,6793001,1.0636261118698036e-12,-3.8027272714594282,Pembrokeshire,Pembrokeshire,Llanrhian
1992,"Castell Coch, Penmorfa, Pembrokeshire (Castell-Coch, Penmorfa; Castell Coch, Pen Morfa)",-567667,6794684,1.121309917364099e-12,-3.8026893027436817,Pembrokeshire,Pembrokeshire,Mathry
1993,"Ynys-y-Castell, Abercastle, Pembrokeshire",-570962,6793275,1.0846530535742369e-12,-3.802713259158529,Pembrokeshire,Pembrokeshire,Mathry
1994,"Little Aber Pwll, Caerau, Pembrokeshire (Caerau)",-580655,6787782,9.76168700019492e-13,-3.802787844889037,Pembrokeshire,Pembrokeshire,St Davids and the Cathedral Close St David's
1995,"South Castle, Skomer, Pembrokeshire (The Neck Camp)",-587788,6751979,8.834430463078793e-13,-3.802856607984296,Pembrokeshire,Pembrokeshire,Marloes and St Brides
1996,"Marloes Sound Rath, Pembrokeshire (Marloes Rath; Marloes; Gateholm Sound Rath; Watery Bay Rath)",-582457,6750666,9.421946727776019e-13,-3.8028124566178794,Pembrokeshire,Pembrokeshire,Marloes and St Brides
1997,"Wooltack Point, Pembrokeshire (Deer Park Fort)",-584307,6752378,9.23613544215205e-13,-3.802826195171271,Pembrokeshire,Pembrokeshire,Marloes and St Brides
1998,"Great Castle Head, Dale, Pembrokeshire",-577388,6747189,9.935461262699007e-13,-3.8027754996086958,Pembrokeshire,Pembrokeshire,Dale
1999,"Little Castle Point, Dale, Pembrokeshire",-577457,6744343,9.872683437064377e-13,-3.802779940972466,Pembrokeshire,Pembrokeshire,Dale
2000,"Little Castle Head, St Ishmael's, Pembrokeshire",-568550,6748929,1.0949872611770745e-12,-3.8027064457631807,Pembrokeshire,Pembrokeshire,St Ishmael's
2001,"South Hook Camp, Pembrokeshire (Kilroom; Rath Park)",-566683,6748620,1.1147473214805724e-12,-3.8026935487346907,Pembrokeshire,Pembrokeshire,Herbrandston
2002,"Dale Point, Pembrokeshire",-573819,6746634,1.0322753738327757e-12,-3.8027485477468566,Pembrokeshire,Pembrokeshire,Dale
2003,"Great Castle Head, St Ishmael's, Pembrokeshire",-569532,6748143,1.082637183204529e-12,-3.802714593805123,Pembrokeshire,Pembrokeshire,St Ishmael's
2004,"Capeston Rath, Pembrokeshire",-566614,6753845,1.1253588372907894e-12,-3.8026866922281433,Pembrokeshire,Pembrokeshire,Walwyn's Castle
2005,"Castles Bay, Pembrokeshire (Sheep Island)",-569677,6741337,1.065922414954904e-12,-3.8027257313288207,Pembrokeshire,Pembrokeshire,Angle
2006,"West Pickard Camp, Pembrokeshire (Pickard)",-566907,6740180,1.0926854473827766e-12,-3.802707959243911,Pembrokeshire,Pembrokeshire,Angle
