Main_Atlas_Number,Main_Display_Name,Boundary_Boundary_Comments,Boundary_Boundary_Type,Boundary_Current_Parish_2
374,"Tunnel Hill, Chadbury, Worcestershire",NA,Parish/Townland,Church Lench
375,"Conderton Camp, Worcestershire (Danes Camp)",NA,NA,NA
376,"Gadbury Bank, Worcestershire (Gadbury Camp)",NA,NA,NA
378,"Kemerton Camp, Bredon Hill, Worcestershire (Bredon Hill Camp)",NA,Parish/Townland,Great Comberton; Kemerton
381,"Island Covert, Worcestershire",NA,NA,NA
383,"Drakelow, Worcestershire (Solcum Farm Promontory Fort, Wolverley)",NA,NA,NA
384,"Whitley Crag, Asby, Cumbria",NA,NA,NA
386,"Battlesbury Camp, Wiltshire",NA,NA,NA
387,"Barbury Castle, Wiltshire",Track through E-W entrances of hillfort marks parish boundary between Ogbourne St Andrew and Wroughton.,Parish/Townland,Wroughton
388,"Liddington Castle, Wiltshire (Badbury Camp)",NA,NA,NA
389,"Casterley Camp, Wiltshire (Catterley Banks)",NA,NA,NA
390,"Sidbury Camp, Wiltshire (Chidbury; Sidbury Hillfort)",NA,NA,NA
