Main_Atlas_Number,Main_Display_Name,Location_X,Location_Y,Density,Density_trans,Location_Current_County,Location_Historic_County,Location_Current_Parish
54,"Callow Hill Camp, Shropshire",-324062,6916255,1.5115828915978265e-12,-1.999997541071053,Shropshire,Shropshire,Minsterley
55,"Castle Idris, Shropshire (Garn Bank)",-347206,6879069,1.77207820584463e-12,-1.999997337611444,Shropshire,Shropshire,Clun
56,"Castle Ring, Gorsty Bank, Shropshire (Gorsty Bank)",-335375,6909167,1.6109221187074868e-12,-1.9999974615578646,Shropshire,Shropshire,Worthen with Shelve
57,"Castle Ring, Horderley, Shropshire",-320934,6886746,1.6062388855434507e-12,-1.9999974652503985,Shropshire,Shropshire,Edgton
58,"Castle Hill, Oak Hill, Shropshire (Oak Hill)",-326034,6910071,1.5518435124844144e-12,-1.9999975085397756,Shropshire,Shropshire,Worthen with Shelve
59,"Castle Ring, Stitt Hill, Shropshire",-320572,6904707,1.537760652393063e-12,-1.999997519870445,Shropshire,Shropshire,Ratlinghope
60,"Caus Castle, Shropshire",-331930,6921054,1.5376039544414644e-12,-1.999997519996811,Shropshire,Shropshire,Westbury
61,"Caynham Camp, Shropshire",-297161,6865415,1.490863389633061e-12,-1.999997557981663,Shropshire,Shropshire,Caynham
62,"Chesterton Walls, Shropshire",-257845,6903430,1.0387564294028559e-12,-1.9999979616119805,Shropshire,Shropshire,Worfield
63,"Clee Burf, Shropshire",-289427,6882898,1.3727482416498282e-12,-1.999997656713213,Shropshire,Shropshire,Wheathill
64,"Coed y Gaer, Oswestry, Shropshire",-349692,6955822,1.4229967990610511e-12,-1.99999761421141,Shropshire,Shropshire,Oswestry Rural
65,"Colstey Bank, Shropshire",-336684,6881968,1.7160737284755358e-12,-1.9999973800200548,Shropshire,Shropshire,Clun
66,"Earl's Hill, Shropshire (Earl's Hill Camp)",-320039,6916318,1.4840177768703225e-12,-1.999997563594634,Shropshire,Shropshire,Pontesbury
