Main_Atlas_Number,Main_Display_Name
259,"Auchenhay, Dumfries & Galloway"
260,"Craig Hill, Dumfries & Galloway (Lochangower)"
261,"Edgarton Mote, Dumfries & Galloway"
262,"Giant's Dike, Dumfries & Galloway (Barstobrick Hill)"
263,"Stroanfreggan Craig, Dumfries & Galloway"
264,"Carminnows, Dumfries & Galloway (Deugh Bridge; Carminnow; Water of Deugh)"
265,"East Kirkcarswell, Dumfries & Galloway"
266,"Barend Mote, Dumfries & Galloway"
267,"Castleyards, Dumfries & Galloway"
268,"Nether Hazelfield, Dumfries & Galloway"
269,"Castle Muir, Dumfries & Galloway (Rueberry Castle)"
270,"Spouty Dennans, Dumfries & Galloway"
271,"Spouty Dennans, Dumfries & Galloway"
272,"Castlecreavie, Dumfries & Galloway"
273,"High Fort, North Milton, Dumfries & Galloway (High Fort of North Milton)"
274,"Doon Hill, Balig, Dumfries & Galloway"
275,"Glennap Fort, Dumfries & Galloway"
276,"Craigraploch, Dumfries & Galloway (Wall Hill)"
277,"Castle Hill, Dumfries & Galloway (Castlegower)"
278,"Ingleston, Dumfries & Galloway"
279,"Dunguile Hill, Dumfries & Galloway"
280,"Kerbers, Dumfries & Galloway"
281,"Netherthird, Dumfries & Galloway"
282,"Kennan's Isle, Tongland Loch, Dumfries & Galloway (River Dee; Tongland Reservoir)"
283,"Corra Hill, Dumfries & Galloway"
284,"March Cleugh, Dumfries & Galloway"
285,"Wraith Plantation, Dumfries & Galloway (Collin Mill Bridge)"
286,"Suie Hill, Dumfries & Galloway"
287,"Dungarry, Dumfries & Galloway"
288,"Meikle Sypland, Dumfries & Galloway (Sypland Mote)"
289,"Mote Hill, Dumfries & Galloway (Clarebrand Mote, The Round)"
290,"Crofts Mote, Dumfries & Galloway"
291,"Auld Kirk of Lochroan, Dumfries & Galloway"
292,"Dunmuir Hill, Dumfries & Galloway (Dunmore)"
293,"Torrs Hill, Dumfries & Galloway (Doonend Hill)"
294,"Camphill, Dumfries & Galloway (Meikle Knox)"
295,"Meikle Wood Hill, Dumfries & Galloway (Kelton Mains)"
296,"Moat Hill, Margley, Dumfries & Galloway"
297,"Crofts, Dumfries & Galloway"
298,"Glengappock Mote, Dumfries & Galloway (Glenroan Mote; Goenroan Mote)"
299,"Minnydow Mote, Dumfries & Galloway"
300,"Mochrum Fell, Dumfries & Galloway (Nick of Mochrum)"
301,"Glenlair Burn, Dumfries & Galloway"
302,"White Isle, Dumfries & Galloway"
303,"Loch Knowe, Dumfries & Galloway"
